user_id,movie_id,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film_noir,horror,imax,musical,mystery,romance,sci_fi,thriller,war,western,label
108,234,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
324,3451,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
27,1759,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.0
381,1693,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.5
445,443,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
67,2096,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
17,546,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3.0
238,6070,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3.5
329,285,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5
543,546,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0
390,2281,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
73,6411,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4.0
248,838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
306,3005,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
50,2848,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
43,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0
88,7341,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5
473,3110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5
599,1383,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.5
572,898,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0
293,1715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
67,2871,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
609,7620,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
316,5834,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3.0
376,3270,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.0
72,7609,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
304,3167,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.5
578,1520,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
5,485,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.0
229,5869,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5
583,514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
165,3549,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4.0
162,1223,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4.0
110,7436,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
607,2887,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
386,648,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
181,3698,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.5
121,3726,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5
123,520,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5.0
607,654,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
140,6517,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5
595,7360,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
436,99,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
511,308,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3.0
607,5972,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
61,6756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5
554,1157,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
88,8829,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.5
131,968,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5
98,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
413,6241,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5
278,968,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5
607,2552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
571,2044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
479,337,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2.5
22,1121,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,4.0
83,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
598,9374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
67,2996,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
220,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
216,762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
102,694,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.0
201,976,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
508,7344,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3.5
468,1720,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
20,8551,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2.5
356,5901,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0
73,919,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.5
257,7181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
510,3633,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0
473,4641,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
263,325,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
123,2013,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
596,857,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.0
102,8449,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.5
413,8256,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4.0
598,257,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5.0
103,6630,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
